Chemin Vert;Bastille;0.632
Bastille;Ledru-Rollin;0.632
Ledru-Rollin;Faidherbe - Chaligny;0.632
Faidherbe - Chaligny;Reuilly-Diderot;0.632
Reuilly-Diderot;Montgallet;0.632
Montgallet;Daumesnil;0.632
Daumesnil;Michel Bizot;0.632
Michel Bizot;Porte Doree;0.632
Porte Doree;Porte de Charenton;0.632
Porte de Charenton;Liberte;0.632
Liberte;Charenton - ecoles;0.632
Charenton - ecoles;ecole Veterinaire de Maisons-Alfort;0.632
ecole Veterinaire de Maisons-Alfort;Maisons-Alfort - Stade;0.632
Maisons-Alfort - Stade;Maisons-Alfort - Les Juilliottes;0.632
Maisons-Alfort - Les Juilliottes;Creteil - L'echat;0.632
Creteil - L'echat;Creteil - Universite;0.632
Creteil - Universite;Creteil - Prefecture;0.632
Creteil - Prefecture;Creteil - Pointe du Lac;0.632
Pont de Sevres;Billancourt;0.544
Billancourt;Marcel Sembat;0.544
Marcel Sembat;Porte de Saint-Cloud;0.544
Porte de Saint-Cloud;Exelmans;0.544
Exelmans;Michel-Ange - Molitor;0.544
Michel-Ange - Molitor;Michel-Ange - Auteuil;0.544
Michel-Ange - Auteuil;Jasmin;0.544
Jasmin;Ranelagh;0.544
Ranelagh;La Muette;0.544
La Muette;Rue de la Pompe;0.544
Rue de la Pompe;Trocadero;0.544
Trocadero;Iena;0.544
Iena;Alma - Marceau;0.544
Alma - Marceau;Franklin D. Roosevelt;0.544
Franklin D. Roosevelt;Saint-Philippe du Roule;0.544
Saint-Philippe du Roule;Miromesnil;0.544
Miromesnil;Saint-Augustin;0.544
Saint-Augustin;Havre - Caumartin;0.544
Havre - Caumartin;Chaussee d'Antin - La Fayette;0.544
Chaussee d'Antin - La Fayette;Richelieu - Drouot;0.544
Richelieu - Drouot;Grands Boulevards;0.544
Grands Boulevards;Bonne Nouvelle;0.544
Bonne Nouvelle;Strasbourg Saint-Denis;0.544
Strasbourg Saint-Denis;Republique;0.544
Republique;Oberkampf;0.544
Oberkampf;Saint-Ambroise;0.544
Saint-Ambroise;Voltaire;0.544
Voltaire;Charonne;0.544
Charonne;Rue des Boulets;0.544
Rue des Boulets;Nation;0.544
Nation;Buzenval;0.544
Buzenval;Maraichers;0.544
Maraichers;Porte de Montreuil;0.544
Porte de Montreuil;Robespierre;0.544
Robespierre;Croix de Chavaux;0.544
Croix de Chavaux;Mairie de Montreuil;0.544
Boulogne - Pont de Saint-Cloud;Boulogne - Jean Jaures;0.585
Boulogne - Jean Jaures;Porte d'Auteuil;0.585
Porte d'Auteuil;Michel-Ange - Auteuil;0.585
Michel-Ange - Auteuil;eglise d'Auteuil;0.585
eglise d'Auteuil;Mirabeau;0.585
Mirabeau;Javel - Andre Citroen;0.585
Javel - Andre Citroen;Charles Michels;0.585
Charles Michels;Avenue emile Zola;0.585
Avenue emile Zola;La Motte Picquet-Grenelle;0.585
La Motte Picquet-Grenelle;Segur;0.585
Segur;Duroc;0.585
Duroc;Vaneau;0.585
Vaneau;Sevres - Babylone;0.585
Sevres - Babylone;Mabillon;0.585
Mabillon;Odeon;0.585
Odeon;Cluny - La Sorbonne;0.585
Cluny - La Sorbonne;Maubert - Mutualite;0.585
Maubert - Mutualite;Cardinal Lemoine;0.585
Cardinal Lemoine;Jussieu;0.585
Jussieu;Gare d'Austerlitz;0.585
Front Populaire;Porte de la Chapelle;0.614
Porte de la Chapelle;Marx Dormoy;0.614
Marx Dormoy;Marcadet Poissonniers;0.614
Marcadet Poissonniers;Jules Joffrin;0.614
Jules Joffrin;Lamarck - Caulaincourt;0.614
Lamarck - Caulaincourt;Abbesses;0.614
Abbesses;Pigalle;0.614
Pigalle;Saint-Georges;0.614
Saint-Georges;Notre-Dame-de-Lorette;0.614
Notre-Dame-de-Lorette;Trinite - d'Estienne d'Orves;0.614
Trinite - d'Estienne d'Orves;Saint-Lazare;0.614
Saint-Lazare;Madeleine;0.614
Madeleine;Concorde;0.614
Concorde;Assemblee Nationale;0.614
Assemblee Nationale;Solferino;0.614
Solferino;Rue du Bac;0.614
Rue du Bac;Sevres - Babylone;0.614
Sevres - Babylone;Rennes;0.614
Rennes;Notre-Dame-des-Champs;0.614
Notre-Dame-des-Champs;Montparnasse Bienvenue;0.614
Montparnasse Bienvenue;Falguiere;0.614
Falguiere;Pasteur;0.614
Pasteur;Volontaires;0.614
Volontaires;Vaugirard;0.614
Vaugirard;Convention;0.614
Convention;Porte de Versailles;0.614
Porte de Versailles;Corentin Celton;0.614
Corentin Celton;Mairie d'Issy;0.614
Saint-Denis - Universite;Basilique de Saint-Denis;0.976
Basilique de Saint-Denis;Saint-Denis Porte de Paris;0.976
Saint-Denis Porte de Paris;Carrefour Pleyel;0.976
Carrefour Pleyel;Mairie de Saint-Ouen;0.976
Mairie de Saint-Ouen;Garibaldi;0.976
Garibaldi;Porte de Saint-Ouen;0.976
Porte de Saint-Ouen;Guy Moquet;0.976
Guy Moquet;La Fourche;0.976
La Fourche;Place de Clichy;0.976
Place de Clichy;Liege;0.976
Liege;Saint-Lazare;0.976
Saint-Lazare;Miromesnil;0.976
Miromesnil;Champs-elysees-Clemenceau;0.976
Champs-elysees-Clemenceau;Invalides;0.976
Invalides;Varenne;0.976
Varenne;Saint-Francois-Xavier;0.976
Saint-Francois-Xavier;Duroc;0.976
Duroc;Montparnasse Bienvenue;0.976
Montparnasse Bienvenue;Gaite;0.976
Gaite;Pernety;0.976
Pernety;Plaisance;0.976
Plaisance;Porte de Vanves;0.976
Porte de Vanves;Malakoff Plateau de Vanves;0.976
Malakoff Plateau de Vanves;Malakoff Rue etienne Dolet;0.976
Malakoff Rue etienne Dolet;Chatillon - Montrouge;0.976
Saint-Lazare;Madeleine;1.81
Madeleine;Pyramides;1.81
Pyramides;Chatelet;1.81
Chatelet;Gare de Lyon;1.81
Gare de Lyon;Bercy;1.81
Bercy;Cour Saint-emilion;1.81
Cour Saint-emilion;Bibliotheque Francois Mitterrand;1.81
Bibliotheque Francois Mitterrand;Olympiades;1.81
